Move 1 of 50: State: (Row 0, Column 0, Action: up, Reward: 0
)Move 2 of 50: State: (Row 0, Column 0, Action: up, Reward: 0
)Move 3 of 50: State: (Row 0, Column 0, Action: left, Reward: 0
)Move 1 of 20: State: (Row 1, Column 0, Action: down, Reward: 0
)Move 2 of 20: State: (Row 0, Column 0, Action: up, Reward: 0
)Move 3 of 20: State: (Row 0, Column 0, Action: left, Reward: 0
)Move 4 of 20: State: (Row 0, Column 0, Action: left, Reward: 0
)Move 5 of 20: State: (Row 0, Column 0, Action: left, Reward: 0
)Move 6 of 20: State: (Row 0, Column 0, Action: up, Reward: 0
)Move 7 of 20: State: (Row 0, Column 0, Action: up, Reward: 0
)Move 8 of 20: State: (Row 0, Column 0, Action: left, Reward: 0
)Move 9 of 20: State: (Row 1, Column 0, Action: down, Reward: 0
)Move 10 of 20: State: (Row 2, Column 0, Action: down, Reward: 0
)Move 11 of 20: State: (Row 1, Column 0, Action: up, Reward: 0
)Move 12 of 20: State: (Row 1, Column 1, Action: right, Reward: 1
)Move 13 of 20: State: (Row 1, Column 2, Action: right, Reward: 1
)Move 14 of 20: State: (Row 1, Column 3, Action: right, Reward: 1
)Move 15 of 20: State: (Row 1, Column 2, Action: left, Reward: 0
)Move 16 of 20: State: (Row 0, Column 2, Action: up, Reward: 0
)Move 17 of 20: State: (Row 0, Column 1, Action: left, Reward: 0
)Move 18 of 20: State: (Row 0, Column 1, Action: up, Reward: 0
)Move 19 of 20: State: (Row 0, Column 2, Action: right, Reward: 1
)Move 20 of 20: State: (Row 1, Column 2, Action: down, Reward: 0
)Move 1 of 5: State: (Row 0, Column 0, Action: left, Reward: 0
Move 2 of 5: State: (Row 0, Column 1, Action: right, Reward: 1
Move 3 of 5: State: (Row 0, Column 0, Action: left, Reward: 0
Move 4 of 5: State: (Row 1, Column 0, Action: down, Reward: 0
Move 5 of 5: State: (Row 2, Column 0, Action: down, Reward: 0
