Move 1 of 50: State: (Row 0, Column 0, Action: up, Reward: [0])
Move 2 of 50: State: (Row 0, Column 0, Action: up, Reward: [0])
Move 3 of 50: State: (Row 0, Column 0, Action: left, Reward: [0])
Move 4 of 50: State: (Row 0, Column 0, Action: up, Reward: [0])
Move 5 of 50: State: (Row 1, Column 0, Action: down, Reward: [1])
Move 6 of 50: State: (Row 1, Column 0, Action: left, Reward: [1])
Move 7 of 50: State: (Row 1, Column 0, Action: left, Reward: [1])
Move 8 of 50: State: (Row 1, Column 1, Action: right, Reward: [1])
Move 9 of 50: State: (Row 1, Column 2, Action: right, Reward: [-50])
Move 10 of 50: State: (Row 1, Column 1, Action: left, Reward: [1])
Move 11 of 50: State: (Row 1, Column 0, Action: left, Reward: [1])
Move 12 of 50: State: (Row 1, Column 0, Action: left, Reward: [1])
Move 13 of 50: State: (Row 2, Column 0, Action: down, Reward: [1])
Move 14 of 50: State: (Row 2, Column 1, Action: right, Reward: [1])
Move 15 of 50: State: (Row 1, Column 1, Action: up, Reward: [1])
Move 16 of 50: State: (Row 2, Column 1, Action: down, Reward: [1])
Move 17 of 50: State: (Row 2, Column 0, Action: left, Reward: [1])
Move 18 of 50: State: (Row 3, Column 0, Action: down, Reward: [1])
Move 19 of 50: State: (Row 4, Column 0, Action: down, Reward: [1])
Move 20 of 50: State: (Row 4, Column 0, Action: left, Reward: [1])
Move 21 of 50: State: (Row 4, Column 0, Action: left, Reward: [1])
Move 22 of 50: State: (Row 4, Column 1, Action: right, Reward: [1])
Move 23 of 50: State: (Row 4, Column 2, Action: right, Reward: [1])
Move 24 of 50: State: (Row 3, Column 2, Action: up, Reward: [-50])
Move 25 of 50: State: (Row 3, Column 1, Action: left, Reward: [1])
Move 26 of 50: State: (Row 3, Column 0, Action: left, Reward: [1])
Move 27 of 50: State: (Row 3, Column 1, Action: right, Reward: [1])
Move 28 of 50: State: (Row 2, Column 1, Action: up, Reward: [1])
Move 29 of 50: State: (Row 3, Column 1, Action: down, Reward: [1])
Move 30 of 50: State: (Row 3, Column 0, Action: left, Reward: [1])
Move 31 of 50: State: (Row 4, Column 0, Action: down, Reward: [1])
Move 32 of 50: State: (Row 5, Column 0, Action: down, Reward: [1])
Move 33 of 50: State: (Row 5, Column 0, Action: left, Reward: [1])
Move 34 of 50: State: (Row 5, Column 0, Action: left, Reward: [1])
Move 35 of 50: State: (Row 5, Column 0, Action: down, Reward: [1])
Move 36 of 50: State: (Row 4, Column 0, Action: up, Reward: [1])
Move 37 of 50: State: (Row 4, Column 0, Action: left, Reward: [1])
Move 38 of 50: State: (Row 5, Column 0, Action: down, Reward: [1])
Move 39 of 50: State: (Row 5, Column 0, Action: left, Reward: [1])
Move 40 of 50: State: (Row 5, Column 0, Action: left, Reward: [1])
Move 41 of 50: State: (Row 5, Column 0, Action: left, Reward: [1])
Move 42 of 50: State: (Row 4, Column 0, Action: up, Reward: [1])
Move 43 of 50: State: (Row 3, Column 0, Action: up, Reward: [1])
Move 44 of 50: State: (Row 4, Column 0, Action: down, Reward: [1])
Move 45 of 50: State: (Row 5, Column 0, Action: down, Reward: [1])
Move 46 of 50: State: (Row 5, Column 0, Action: left, Reward: [1])
Move 47 of 50: State: (Row 5, Column 0, Action: left, Reward: [1])
Move 48 of 50: State: (Row 5, Column 0, Action: left, Reward: [1])
Move 49 of 50: State: (Row 4, Column 0, Action: up, Reward: [1])
Move 50 of 50: State: (Row 3, Column 0, Action: up, Reward: [1])
